Canton;Loyer_moyen;Intervalle_de_confiance
Suisse;1373;3
Zurich;1597;8
Berne;1233;8
Lucerne;1364;9
Uri;1164;38
Schwyz;1566;27
Obwald;1356;61
Nidwald;1494;41
Glaris;1169;46
Zoug;1824;21
Fribourg;1242;14
Soleure;1196;16
Bale-Ville;1340;18
Bale-Campagne;1418;18
Schaffhouse;1218;26
Appenzell Rh.-Ext.;1207;38
Appenzell Rh.-Int.;1307;76
Saint-Gall;1247;11
Grisons;1242;19
Argovie;1381;7
Thurgovie;1268;11
Tessin;1192;9
Vaud;1384;8
Valais;1147;10
Neuchatel;1026;11
Geneve;1462;11
Jura;957;25