Cantons;Population_1er_janvier;Naissances;Deces;Accroissement_naturel;Migrations_internationales;Migrations_intercantonales;Population_31_decembre;Variation
Zurich;1 539 275; 16 649; 12 078; 4 571; 12 887;- 2 091;1553423; 14 148
Berne;1 039 474; 9 943; 10 175;-  232; 3 615;  251;1043132; 3 658
Lucerne; 413 120; 4 311; 3 346;  965; 1 843;  159;416347; 3 227
Uri; 36 703;  328;  327;  1;  224;-  140;36819;  116
Schwyz; 160 480; 1 633; 1 361;  272;  595;789;162157; 1 677
Obwald; 37 930;  378;  344;  34;  123;  11;38108;  178
Nidwald; 43 087;  397;  335;  62;  187;  180;43520;  433
Glaris; 40 590;  382;  431;-  49;  286;  17;40851;  261
Zoug; 127 642; 1 245;  868;  377;  913;-  165;128794; 1 152
Fribourg; 321 783; 3 381; 2 556;  825; 1 156;1708;325496; 3 713
Soleure; 275 247; 2 663; 2 646;  17; 1 504;  707;277462; 2 215
Bâle-Ville; 195 844; 1 994; 2 138;-  144; 2 625;- 1 716;196735;  891
Bâle-Campagne; 289 468; 2 522; 2 765;-  243; 1 179;  693;290969; 1 501
Schaffhouse; 82 348;  764;  841;-  77;  472;  359;83107;  759
Appenzell Rh.-Ext.; 55 445;  547;  530;  17;  166;-  306;55309;-  136
Appenzell Rh.-Int.; 16 128;  171;  148;  23;  53;  75;16293;  165
Saint-Gall; 510 734; 5 345; 4 767;  578; 3 400;-  423;514504; 3 770
Grisons; 199 021; 1 637; 1 800;-  163; 1 449;-  148;200096; 1 075
Argovie; 685 845; 6 980; 5 517; 1 463; 3 933; 2 769;694072; 8 227
Thurgovie; 279 547; 2 882; 2 253;  629; 1 868;  957;282909; 3 362
Tessin; 351 491; 2 506; 4 067;- 1 561; 1 856;-  669;350986;-  505
Vaud; 805 098; 8 455; 6 700; 1 755; 7 994;-  699;814762; 9 664
Valais; 345 525; 3 310; 3 276;  34; 1 962; 1 252;348503; 2 978
Neuchâtel; 176 496; 1 633; 1 804;-  171;  601;-  955;175894;-  602
Genève; 504 128; 5 159; 4 279;  880; 4 717;- 2 649;506343; 2 215
Jura; 73 584;  699;  843;-  144;  236;  34;73709;  125